policy,threads,queue_size,N,PAR,throughput,avg_latency,min_latency,max_latency,wall_time
fifo,1,1,2000,10,200.00000000000000000000,0.012312,0.000252,0.055768,10.000000
fifo,1,4,2000,10,200.00000000000000000000,0.011575,0.000247,0.050334,10.000000
fifo,1,16,2000,10,153.84615384615384615384,0.015475,0.000263,0.078003,13.000000
fifo,1,64,2000,10,200.00000000000000000000,0.011915,0.000246,0.062832,10.000000
fifo,2,1,2000,10,250.00000000000000000000,0.006342,0.000226,0.027427,8.000000
fifo,2,4,2000,10,250.00000000000000000000,0.006382,0.000245,0.024006,8.000000
fifo,2,16,2000,10,250.00000000000000000000,0.006659,0.000264,0.028194,8.000000
fifo,2,64,2000,10,222.22222222222222222222,0.006160,0.000250,0.026609,9.000000
fifo,4,1,2000,10,250.00000000000000000000,0.005575,0.000263,0.023222,8.000000
fifo,4,4,2000,10,285.71428571428571428571,0.004712,0.000255,0.021681,7.000000
fifo,4,16,2000,10,250.00000000000000000000,0.004503,0.000237,0.018885,8.000000
fifo,4,64,2000,10,250.00000000000000000000,0.004936,0.000251,0.016900,8.000000
fifo,8,1,2000,10,250.00000000000000000000,0.005065,0.000235,0.030501,8.000000
fifo,8,4,2000,10,200.00000000000000000000,0.005038,0.000280,0.021037,10.000000
fifo,8,16,2000,10,285.71428571428571428571,0.004452,0.000263,0.018579,7.000000
fifo,8,64,2000,10,250.00000000000000000000,0.004454,0.000226,0.016469,8.000000
sff,1,1,2000,10,200.00000000000000000000,0.012277,0.000256,0.049515,10.000000
sff,1,4,2000,10,181.81818181818181818181,0.008247,0.000268,0.074674,11.000000
sff,1,16,2000,10,200.00000000000000000000,0.007717,0.000247,0.059370,10.000000
sff,1,64,2000,10,200.00000000000000000000,0.007735,0.000269,0.049702,10.000000
sff,2,1,2000,10,166.66666666666666666666,0.009547,0.000250,0.051001,12.000000
sff,2,4,2000,10,250.00000000000000000000,0.005548,0.000237,0.024778,8.000000
sff,2,16,2000,10,285.71428571428571428571,0.005342,0.000261,0.019694,7.000000
sff,2,64,2000,10,181.81818181818181818181,0.007278,0.000226,0.036614,11.000000
sff,4,1,2000,10,250.00000000000000000000,0.005516,0.000241,0.030794,8.000000
sff,4,4,2000,10,285.71428571428571428571,0.004460,0.000226,0.017262,7.000000
sff,4,16,2000,10,285.71428571428571428571,0.004500,0.000218,0.017996,7.000000
sff,4,64,2000,10,285.71428571428571428571,0.004493,0.000259,0.018201,7.000000
sff,8,1,2000,10,285.71428571428571428571,0.005245,0.000233,0.020209,7.000000
sff,8,4,2000,10,285.71428571428571428571,0.004344,0.000277,0.019200,7.000000
sff,8,16,2000,10,285.71428571428571428571,0.004353,0.000242,0.016676,7.000000
sff,8,64,2000,10,285.71428571428571428571,0.004321,0.000223,0.021995,7.000000
